"","variable","value","year"
"1","ppt",590.007797413935,1895
"2","ppt",798.994496063894,1896
"3","ppt",700.129843858337,1897
"4","ppt",669.305570247102,1898
"5","ppt",751.142417544701,1899
"6","ppt",802.290629081402,1900
"7","ppt",658.324771278287,1901
"8","ppt",744.952967013807,1902
"9","ppt",827.810636465151,1903
"10","ppt",704.432894584645,1904
"11","ppt",820.486480084321,1905
"12","ppt",796.681112007888,1906
"13","ppt",650.729973800886,1907
"14","ppt",717.934950471641,1908
"15","ppt",760.20613681391,1909
"16","ppt",473.485701280694,1910
"17","ppt",801.88228920977,1911
"18","ppt",680.75693477075,1912
"19","ppt",716.011692048341,1913
"20","ppt",739.569406567825,1914
"21","ppt",760.958759375313,1915
"22","ppt",794.798266475951,1916
"23","ppt",590.820266461651,1917
"24","ppt",678.205496228614,1918
"25","ppt",759.034737993853,1919
"26","ppt",707.281715780421,1920
"27","ppt",678.594616515523,1921
"28","ppt",708.321988438172,1922
"29","ppt",598.134404295817,1923
"30","ppt",712.546128504076,1924
"31","ppt",627.759530259688,1925
"32","ppt",755.487855342195,1926
"33","ppt",714.060034225119,1927
"34","ppt",762.144701620486,1928
"35","ppt",631.377885023738,1929
"36","ppt",602.712780853667,1930
"37","ppt",678.1836546789,1931
"38","ppt",644.126131369021,1932
"39","ppt",620.898699982969,1933
"40","ppt",649.407091568534,1934
"41","ppt",710.534736571591,1935
"42","ppt",572.510696449677,1936
"43","ppt",687.927167234908,1937
"44","ppt",842.782333035349,1938
"45","ppt",630.745428932759,1939
"46","ppt",728.22802912896,1940
"47","ppt",809.375105459358,1941
"48","ppt",806.658848685594,1942
"49","ppt",722.375490814213,1943
"50","ppt",757.448082850602,1944
"51","ppt",792.803440113357,1945
"52","ppt",729.49119186738,1946
"53","ppt",698.617181232127,1947
"54","ppt",601.274409253055,1948
"55","ppt",710.365411040655,1949
"56","ppt",726.754101601002,1950
"57","ppt",875.587086477557,1951
"58","ppt",660.627063788077,1952
"59","ppt",772.758156870171,1953
"60","ppt",773.149081818577,1954
"61","ppt",668.453168537297,1955
"62","ppt",648.529402961219,1956
"63","ppt",731.586795612946,1957
"64","ppt",585.015021745005,1958
"65","ppt",796.605565424468,1959
"66","ppt",744.783354863748,1960
"67","ppt",691.33530931851,1961
"68","ppt",715.883360361051,1962
"69","ppt",615.34772952918,1963
"70","ppt",710.510787250316,1964
"71","ppt",885.979698100104,1965
"72","ppt",665.457281990257,1966
"73","ppt",677.692657684612,1967
"74","ppt",889.307181034463,1968
"75","ppt",701.446618613291,1969
"76","ppt",757.475110068063,1970
"77","ppt",780.222841316284,1971
"78","ppt",801.131219017124,1972
"79","ppt",793.95429186356,1973
"80","ppt",686.934587636755,1974
"81","ppt",785.305971078917,1975
"82","ppt",495.027409206202,1976
"83","ppt",887.827010268503,1977
"84","ppt",767.747486512869,1978
"85","ppt",779.767718358758,1979
"86","ppt",690.462959547639,1980
"87","ppt",740.596906765412,1981
"88","ppt",841.655227296726,1982
"89","ppt",817.861870715282,1983
"90","ppt",790.415935197927,1984
"91","ppt",878.863583028757,1985
"92","ppt",833.598920412355,1986
"93","ppt",654.489901467178,1987
"94","ppt",654.035767501148,1988
"95","ppt",605.171288655427,1989
"96","ppt",785.948141261689,1990
"97","ppt",892.027216001783,1991
"98","ppt",724.196255673136,1992
"99","ppt",837.996744315311,1993
"100","ppt",755.10058115632,1994
"101","ppt",809.969350551148,1995
"102","ppt",790.218230236106,1996
"103","ppt",682.216072815367,1997
"104","ppt",770.615936015326,1998
"105","ppt",798.94487316936,1999
"106","ppt",768.856404476102,2000
"107","ppt",823.126031939359,2001
"108","ppt",802.798767091914,2002
"109","ppt",661.094863199457,2003
"110","ppt",830.909232215366,2004
"111","ppt",771.346443406462,2005
"112","ppt",684.731066959875,2006
"113","ppt",781.461681363603,2007
