Field1,DEM,ppt_inches,tmax_c,tmean_c,tmin_c,soil
1,459.415,NA,NA,NA,NA,NA
2,451.675,705.74,13.47,7.4175,1.365,"Splitrock silty clay loam, 2 to 5 percent slopes"
3,439.387,NA,NA,NA,NA,"Nora-Crofton complex, 6 to 12 percent slopes, eroded"
4,484.462,NA,NA,NA,NA,NA
5,457.76,NA,NA,NA,NA,NA
6,477.025,NA,NA,NA,NA,NA
7,431.244,NA,NA,NA,NA,NA
8,451.709,709.35,13.5433,7.51083,1.47833,"Splitrock silty clay loam, 2 to 5 percent slopes"
9,434.896,714.01,13.3467,7.36083,1.375,"Dempster silt loam, 2 to 6 percent slopes"
10,498.984,708.25,13.0125,7.08958,1.16667,"Splitrock silty clay loam, 2 to 5 percent slopes"
11,500.111,699.66,12.9342,7.04833,1.1625,"Trent silty clay loam, 1 to 3 percent slopes"
12,482.358,692.17,12.85,6.99458,1.13917,"Ihlen silty clay loam, 2 to 6 percent slopes"
13,507.735,681.53,12.7792,6.93375,1.08833,"Moody silty clay loam, 2 to 5 percent slopes"
14,488.16,678.69,12.7742,6.8775,0.98083,"Kranzburg-Brookings complex, 1 to 4 percent slopes"
15,505.983,NA,NA,NA,NA,"Brookings silty clay loam, 1 to 3 percent slopes"
16,532.005,NA,NA,NA,NA,NA
17,526.747,NA,NA,NA,NA,NA
18,527.919,NA,NA,NA,NA,NA
19,342.99,NA,NA,NA,NA,NA
20,342.445,613.67,12.32,6.36208,0.40417,"Peever-Buse complex, 2 to 6 percent slopes"
21,441.269,NA,NA,NA,NA,NA
22,446.733,719.92,13.3275,7.36083,1.39417,"Moody silty clay loam, 2 to 5 percent slopes"
23,457.785,725.59,13.28,7.33125,1.3825,"Moody silty clay loam, 2 to 5 percent slopes"
24,474.939,726.96,13.0908,7.19792,1.305,"Trent silty clay loam, 1 to 3 percent slopes"
25,534.581,709.98,12.6883,6.96667,1.245,"Splitrock silty clay loam, 2 to 5 percent slopes"
26,527.513,689.47,12.625,6.84917,1.07333,"Kranzburg silty clay loam, 3 to 6 percent slopes"
27,516.094,685.29,12.615,6.8125,1.01,"Kranzburg-Brookings complex, 1 to 4 percent slopes"
28,516.234,681.14,12.6633,6.80208,0.94083,"Brookings silty clay loam, 1 to 3 percent slopes"
29,509.235,664.34,12.5967,6.73292,0.86917,"Renshaw loam, 0 to 3 percent slopes"
30,511.822,661.38,12.55,6.71542,0.88083,"Rauville silty clay loam, coteau, 0 to 1 percent slopes, frequently flooded"
31,531.578,679.93,12.3192,6.5725,0.82583,"Kranzburg-Brookings complex, 1 to 4 percent slopes"
32,571.119,686.69,11.9817,6.31167,0.64167,"Buse clay loam, 18 to 25 percent slopes"
